guest_id,loyalty_member_flag,visit_frequency_30d,days_since_last_visit,promo_exposure_flag,promo_redeemed_flag,mobile_order_usage_rate,rewards_redemption_count,churn_risk_proxy,data_source
GST-000001,0,1,9,1,0,0.233,1,0.291,synthetic
GST-000002,1,3,35,1,1,0.43,0,0.754,synthetic
GST-000003,0,1,29,1,0,1.0,0,0.149,synthetic
GST-000004,1,3,13,1,0,0.493,3,0.0,synthetic
GST-000005,1,3,39,1,0,0.31,2,0.074,synthetic
GST-000006,1,4,23,0,1,0.21,0,0.086,synthetic
GST-000007,1,2,32,0,1,0.648,3,0.232,synthetic
GST-000008,0,2,27,1,0,0.404,0,0.541,synthetic
GST-000009,0,1,35,1,0,0.424,0,0.274,synthetic
GST-000010,0,2,15,1,0,1.0,1,0.23,synthetic
GST-000011,0,0,13,0,0,0.433,1,0.239,synthetic
GST-000012,1,7,36,0,1,0.425,1,0.181,synthetic
GST-000013,0,4,37,1,0,0.074,0,0.308,synthetic
GST-000014,1,5,21,0,1,0.518,0,0.151,synthetic
GST-000015,1,3,6,0,0,0.234,6,0.282,synthetic
GST-000016,0,2,29,1,1,0.323,0,0.078,synthetic
GST-000017,0,1,20,1,0,0.34,0,0.0,synthetic
GST-000018,0,2,5,0,0,0.448,0,0.412,synthetic
GST-000019,1,5,35,0,0,0.412,4,0.385,synthetic
GST-000020,0,1,12,1,0,0.388,0,0.712,synthetic
GST-000021,1,3,9,1,0,0.318,0,0.079,synthetic
GST-000022,1,1,34,1,0,0.443,2,0.0,synthetic
GST-000023,1,3,43,0,0,0.558,2,0.037,synthetic
GST-000024,0,3,6,0,1,0.271,0,0.616,synthetic
GST-000025,1,6,17,1,1,0.772,2,0.028,synthetic
GST-000026,0,0,27,0,0,0.607,0,0.521,synthetic
GST-000027,0,0,21,0,0,0.0,0,0.018,synthetic
GST-000028,0,0,34,1,0,0.293,1,0.371,synthetic
GST-000029,1,3,6,1,1,0.232,4,0.025,synthetic
GST-000030,1,4,40,1,0,0.401,5,0.29,synthetic
GST-000031,1,4,10,1,0,0.262,1,0.687,synthetic
GST-000032,1,5,29,1,0,0.402,3,0.411,synthetic
GST-000033,0,1,33,1,0,0.664,0,0.369,synthetic
GST-000034,1,4,6,1,0,0.349,1,0.089,synthetic
GST-000035,1,3,13,0,0,0.322,2,0.522,synthetic
GST-000036,1,9,4,1,0,0.538,4,0.0,synthetic
GST-000037,0,0,17,1,0,0.563,0,0.209,synthetic
GST-000038,1,2,31,1,0,0.169,4,0.059,synthetic
GST-000039,1,3,34,1,0,0.223,0,0.543,synthetic
GST-000040,1,1,40,1,1,0.349,0,0.045,synthetic
GST-000041,1,9,41,1,0,0.591,3,0.0,synthetic
GST-000042,1,4,30,1,0,0.429,2,0.063,synthetic
GST-000043,1,0,15,0,0,0.315,0,0.184,synthetic
GST-000044,1,2,29,1,0,0.423,1,0.0,synthetic
GST-000045,1,3,38,1,1,0.511,4,0.049,synthetic
GST-000046,0,1,29,1,0,0.586,0,0.379,synthetic
GST-000047,1,11,30,0,0,0.529,2,0.272,synthetic
GST-000048,1,3,24,1,0,0.437,3,0.159,synthetic
GST-000049,1,8,4,0,0,0.535,3,0.12,synthetic
GST-000050,1,5,2,1,1,0.899,1,0.171,synthetic
GST-000051,1,6,7,0,1,1.0,3,0.058,synthetic
GST-000052,0,1,18,0,0,0.036,0,0.095,synthetic
GST-000053,0,0,18,1,0,1.0,0,0.094,synthetic
GST-000054,0,0,25,0,0,1.0,0,0.116,synthetic
GST-000055,0,0,3,0,0,0.261,0,0.434,synthetic
GST-000056,0,0,5,0,0,0.395,0,0.121,synthetic
GST-000057,1,2,27,0,0,0.382,2,0.17,synthetic
GST-000058,1,3,11,0,0,0.659,1,0.192,synthetic
GST-000059,0,0,39,1,0,0.304,1,0.581,synthetic
GST-000060,0,2,25,0,0,0.405,0,0.0,synthetic
GST-000061,1,7,31,1,0,0.958,3,0.0,synthetic
GST-000062,0,2,31,1,1,0.592,0,0.71,synthetic
GST-000063,1,2,1,0,0,0.513,3,0.166,synthetic
GST-000064,0,3,4,0,0,0.062,0,0.276,synthetic
GST-000065,1,4,7,1,0,0.397,2,0.642,synthetic
GST-000066,1,3,31,1,1,0.348,2,0.457,synthetic
GST-000067,1,5,5,1,0,0.461,1,0.046,synthetic
GST-000068,1,3,7,1,0,0.53,1,0.121,synthetic
GST-000069,1,7,13,0,1,0.407,0,0.369,synthetic
GST-000070,1,4,7,0,1,0.366,1,0.029,synthetic
GST-000071,1,3,7,0,1,0.433,0,0.253,synthetic
GST-000072,1,2,38,0,0,1.0,3,0.142,synthetic
GST-000073,1,5,26,0,0,0.401,1,0.368,synthetic
GST-000074,0,1,15,0,0,0.314,1,0.584,synthetic
GST-000075,0,0,13,1,0,0.275,0,0.0,synthetic
GST-000076,1,1,33,0,1,0.164,5,0.205,synthetic
GST-000077,0,0,3,0,0,0.283,0,0.342,synthetic
GST-000078,1,4,3,0,1,0.481,0,0.102,synthetic
GST-000079,1,8,13,1,1,0.589,1,0.0,synthetic
GST-000080,1,3,11,1,1,0.363,0,0.165,synthetic
GST-000081,0,0,17,0,0,0.895,0,0.04,synthetic
GST-000082,1,5,43,1,0,0.425,1,0.609,synthetic
GST-000083,0,2,41,0,0,0.153,0,0.096,synthetic
GST-000084,1,5,30,0,1,0.442,3,0.0,synthetic
GST-000085,0,2,43,0,0,0.343,0,0.572,synthetic
GST-000086,0,0,9,0,1,0.278,0,0.483,synthetic
GST-000087,0,1,26,1,0,1.0,1,0.159,synthetic
GST-000088,0,1,13,1,0,0.377,0,0.036,synthetic
GST-000089,1,3,41,1,1,0.423,3,0.252,synthetic
GST-000090,1,4,34,1,0,0.296,4,0.027,synthetic
GST-000091,1,5,16,0,0,0.782,2,0.147,synthetic
GST-000092,1,5,40,1,1,0.302,2,0.159,synthetic
GST-000093,1,3,22,0,0,0.48,0,0.165,synthetic
GST-000094,1,2,4,1,0,0.16,1,0.024,synthetic
GST-000095,1,7,42,0,1,0.817,1,0.155,synthetic
GST-000096,0,0,44,1,0,0.504,0,0.248,synthetic
GST-000097,1,3,27,1,0,0.437,4,0.054,synthetic
GST-000098,1,3,7,1,0,0.139,0,0.163,synthetic
GST-000099,0,3,37,1,0,0.274,0,0.215,synthetic
GST-000100,1,7,16,0,1,0.197,4,0.128,synthetic
GST-000101,1,4,34,1,0,0.428,4,0.0,synthetic
GST-000102,1,3,16,1,0,0.545,2,0.0,synthetic
GST-000103,0,2,15,0,0,0.264,0,0.511,synthetic
GST-000104,0,0,24,1,0,0.52,2,0.544,synthetic
GST-000105,1,4,23,1,1,0.749,2,0.017,synthetic
GST-000106,1,9,13,1,1,0.89,2,0.197,synthetic
GST-000107,0,5,32,0,0,0.576,1,0.389,synthetic
GST-000108,0,5,6,1,1,0.194,0,0.391,synthetic
GST-000109,1,2,37,1,0,0.475,1,0.086,synthetic
GST-000110,0,0,23,1,0,0.188,0,0.214,synthetic
GST-000111,0,1,38,0,0,0.728,0,0.148,synthetic
GST-000112,1,5,15,0,0,0.505,5,0.025,synthetic
GST-000113,0,3,27,0,0,0.118,0,0.157,synthetic
GST-000114,1,4,11,1,1,0.832,2,0.42,synthetic
GST-000115,1,3,5,1,0,0.274,5,0.198,synthetic
GST-000116,0,1,21,1,0,0.369,0,0.222,synthetic
GST-000117,0,1,14,0,0,0.355,0,0.087,synthetic
GST-000118,1,3,4,1,1,1.0,4,0.159,synthetic
GST-000119,1,1,35,1,1,0.469,0,0.325,synthetic
GST-000120,1,6,37,1,0,0.497,1,0.176,synthetic
GST-000121,1,7,18,0,0,0.515,5,0.144,synthetic
GST-000122,1,6,35,0,0,0.846,2,0.249,synthetic
GST-000123,1,3,15,0,0,0.126,0,0.162,synthetic
GST-000124,1,3,42,0,0,0.227,1,0.0,synthetic
GST-000125,0,1,4,0,0,0.556,0,0.754,synthetic
GST-000126,0,0,20,0,0,0.234,0,0.259,synthetic
GST-000127,1,4,35,0,0,0.636,2,0.175,synthetic
GST-000128,1,5,38,1,0,0.101,2,0.0,synthetic
GST-000129,0,4,25,0,0,0.442,0,0.248,synthetic
GST-000130,0,1,7,1,0,0.496,0,0.563,synthetic
GST-000131,0,0,33,1,0,0.399,0,0.177,synthetic
GST-000132,0,0,11,1,0,0.354,0,0.039,synthetic
GST-000133,1,5,9,1,1,0.537,1,0.098,synthetic
GST-000134,0,2,1,0,0,0.472,0,0.073,synthetic
GST-000135,0,0,16,1,0,0.533,0,0.32,synthetic
GST-000136,0,0,34,1,0,0.453,0,0.013,synthetic
GST-000137,1,3,26,1,0,0.342,0,0.215,synthetic
GST-000138,1,6,3,0,0,0.948,1,0.082,synthetic
GST-000139,1,4,16,1,0,0.706,1,0.001,synthetic
GST-000140,1,2,9,0,0,0.583,3,0.307,synthetic
GST-000141,1,6,12,0,0,0.738,4,0.0,synthetic
GST-000142,0,1,23,1,0,0.612,0,0.492,synthetic
GST-000143,0,2,22,0,0,0.231,0,0.466,synthetic
GST-000144,1,2,17,1,0,0.254,1,0.768,synthetic
GST-000145,1,7,43,1,0,0.366,2,0.091,synthetic
GST-000146,1,5,2,0,0,0.361,4,0.047,synthetic
GST-000147,1,3,35,0,0,0.239,0,0.027,synthetic
GST-000148,1,2,8,0,1,0.367,2,0.179,synthetic
GST-000149,1,3,43,0,0,0.299,3,0.451,synthetic
GST-000150,0,1,18,1,0,1.0,0,0.231,synthetic
GST-000151,0,2,34,1,0,0.579,0,0.0,synthetic
GST-000152,0,1,29,0,0,0.215,0,0.175,synthetic
GST-000153,1,5,9,0,0,0.878,3,0.052,synthetic
GST-000154,1,3,38,0,1,0.454,2,0.364,synthetic
GST-000155,1,4,31,0,0,0.575,2,0.364,synthetic
GST-000156,1,3,18,1,0,0.508,3,0.005,synthetic
GST-000157,0,3,7,0,0,0.135,0,0.173,synthetic
GST-000158,1,4,14,0,0,0.466,3,0.09,synthetic
GST-000159,0,5,25,1,0,0.13,0,0.199,synthetic
GST-000160,0,2,31,1,0,0.269,0,0.478,synthetic
GST-000161,1,1,23,0,0,0.286,2,0.182,synthetic
GST-000162,0,2,21,0,0,0.705,0,0.015,synthetic
GST-000163,1,2,17,0,0,0.3,2,0.113,synthetic
GST-000164,0,0,31,1,0,1.0,1,0.294,synthetic
GST-000165,1,3,15,0,0,0.443,4,0.0,synthetic
GST-000166,0,1,8,1,0,0.307,0,0.092,synthetic
GST-000167,0,1,1,0,1,0.734,1,0.188,synthetic
GST-000168,0,1,34,0,0,0.722,0,0.178,synthetic
GST-000169,1,5,25,0,1,0.34,2,0.124,synthetic
GST-000170,0,2,22,0,0,0.842,0,0.026,synthetic
GST-000171,1,7,38,0,1,0.376,2,0.0,synthetic
GST-000172,1,2,21,1,0,0.444,1,0.389,synthetic
GST-000173,0,0,42,1,1,0.43,1,0.711,synthetic
GST-000174,0,1,43,1,0,0.874,0,0.0,synthetic
GST-000175,1,4,7,0,1,0.57,2,0.041,synthetic
GST-000176,1,5,12,0,0,0.067,1,0.0,synthetic
GST-000177,0,1,14,1,0,0.331,0,0.21,synthetic
GST-000178,1,4,41,0,0,0.369,3,0.246,synthetic
GST-000179,1,7,29,1,0,0.183,2,0.13,synthetic
GST-000180,1,3,26,0,0,0.946,0,0.225,synthetic
GST-000181,1,7,19,0,0,0.677,1,0.14,synthetic
GST-000182,0,1,29,0,0,0.345,0,0.521,synthetic
GST-000183,1,4,36,0,0,0.258,3,0.098,synthetic
GST-000184,1,2,37,1,0,0.583,2,0.124,synthetic
GST-000185,0,0,41,1,0,0.206,0,0.0,synthetic
GST-000186,0,2,14,0,0,0.481,1,0.681,synthetic
GST-000187,0,3,15,0,0,0.558,0,0.108,synthetic
GST-000188,0,1,11,0,0,0.483,0,0.456,synthetic
GST-000189,1,4,11,1,0,0.333,3,0.285,synthetic
GST-000190,1,4,32,0,0,0.344,2,0.165,synthetic
GST-000191,1,4,36,0,1,0.483,3,0.161,synthetic
GST-000192,0,0,29,1,0,0.389,0,0.123,synthetic
GST-000193,1,9,35,0,1,0.244,1,0.204,synthetic
GST-000194,0,3,29,1,0,0.345,1,0.646,synthetic
GST-000195,1,4,30,1,0,0.942,3,0.176,synthetic
GST-000196,0,1,37,1,1,0.569,0,0.0,synthetic
GST-000197,0,0,8,1,0,0.353,0,0.4,synthetic
GST-000198,0,0,37,0,0,0.774,0,0.035,synthetic
GST-000199,1,3,2,0,0,0.748,0,0.028,synthetic
GST-000200,0,0,19,1,0,0.416,0,0.157,synthetic
GST-000201,1,9,10,1,1,0.83,4,0.109,synthetic
GST-000202,1,5,18,1,1,0.133,0,0.2,synthetic
GST-000203,1,4,4,1,0,0.663,0,0.171,synthetic
GST-000204,1,3,39,1,0,0.311,1,0.784,synthetic
GST-000205,1,3,12,0,0,0.482,1,0.0,synthetic
GST-000206,1,5,10,1,0,0.269,1,0.441,synthetic
GST-000207,0,4,30,1,0,0.332,0,0.144,synthetic
GST-000208,1,6,27,0,0,0.79,3,0.342,synthetic
GST-000209,0,0,5,0,0,0.359,0,0.093,synthetic
GST-000210,1,2,40,1,0,0.536,1,0.392,synthetic
GST-000211,1,6,4,1,0,1.0,1,0.326,synthetic
GST-000212,1,7,21,1,1,0.0,1,0.222,synthetic
GST-000213,0,0,31,1,0,0.817,0,0.071,synthetic
GST-000214,1,3,27,1,0,0.645,2,0.087,synthetic
