feedback_id,survey_id,guest_id,store_id,feedback_date,product_name,product_category,seasonal_flag,seasonal_drink_awareness,trial_flag,product_rating,repeat_purchase_intent,sweetness_feedback,price_value_feedback,guest_segment,data_source
PFD-000001,SVY-000001,GST-000001,BB-043,2024-02-21,Chocolate Croissant,bakery,0,0,1,4,3,too_sweet,fair,occasional_guest,synthetic
PFD-000002,SVY-000002,GST-000002,BB-071,2024-06-23,Caramel Macchiato,espresso,0,1,1,2,2,balanced,fair,at_risk_guest,synthetic
PFD-000003,SVY-000003,GST-000003,BB-070,2024-01-10,Chai Tea Latte,tea,0,0,1,2,3,balanced,good_value,mobile_first_guest,synthetic
PFD-000004,SVY-000005,GST-000005,BB-048,2024-01-21,Chai Tea Latte,tea,0,0,1,3,3,too_sweet,too_expensive,price_sensitive_guest,synthetic
PFD-000005,SVY-000006,GST-000006,BB-081,2024-02-19,Seasonal Cold Brew,cold_brew,1,1,1,4,4,balanced,good_value,loyalty_regular,synthetic
PFD-000006,SVY-000008,GST-000008,BB-027,2024-04-07,Turkey Sandwich,food,0,1,1,2,1,too_sweet,fair,at_risk_guest,synthetic
PFD-000007,SVY-000009,GST-000009,BB-079,2024-03-18,Seasonal Cold Brew,cold_brew,1,0,1,4,4,balanced,fair,occasional_guest,synthetic
PFD-000008,SVY-000010,GST-000010,BB-087,2024-04-28,Classic Latte,espresso,0,0,1,3,3,balanced,good_value,mobile_first_guest,synthetic
PFD-000009,SVY-000011,GST-000011,BB-012,2024-02-19,Caramel Macchiato,espresso,0,1,1,3,2,balanced,fair,occasional_guest,synthetic
PFD-000010,SVY-000012,GST-000012,BB-032,2024-03-29,Chocolate Croissant,bakery,0,1,1,3,3,not_sweet_enough,fair,occasional_guest,synthetic
PFD-000011,SVY-000013,GST-000013,BB-044,2024-02-11,Cold Brew,cold_brew,0,0,1,4,3,balanced,too_expensive,price_sensitive_guest,synthetic
PFD-000012,SVY-000019,GST-000019,BB-001,2024-03-03,Pumpkin Spice Latte,espresso,1,0,1,3,2,too_sweet,too_expensive,seasonal_product_explorer,synthetic
PFD-000013,SVY-000020,GST-000020,BB-067,2024-03-26,Blueberry Muffin,bakery,0,0,1,3,1,balanced,good_value,at_risk_guest,synthetic
PFD-000014,SVY-000022,GST-000022,BB-044,2024-06-18,Turkey Sandwich,food,0,1,1,3,4,too_sweet,good_value,loyalty_regular,synthetic
PFD-000015,SVY-000023,GST-000023,BB-027,2024-01-25,Chocolate Croissant,bakery,0,1,1,4,4,balanced,too_expensive,loyalty_regular,synthetic
PFD-000016,SVY-000026,GST-000026,BB-013,2024-06-19,Caramel Macchiato,espresso,0,0,1,2,2,balanced,too_expensive,at_risk_guest,synthetic
PFD-000017,SVY-000027,GST-000027,BB-024,2024-02-03,Caramel Macchiato,espresso,0,0,1,4,4,balanced,too_expensive,occasional_guest,synthetic
PFD-000018,SVY-000028,GST-000028,BB-045,2024-06-21,Classic Latte,espresso,0,1,1,2,2,balanced,too_expensive,at_risk_guest,synthetic
PFD-000019,SVY-000029,GST-000029,BB-049,2024-01-10,Breakfast Burrito,food,0,0,1,2,3,balanced,too_expensive,loyalty_regular,synthetic
PFD-000020,SVY-000030,GST-000030,BB-072,2024-05-15,Seasonal Cold Brew,cold_brew,1,1,1,5,1,too_sweet,good_value,loyalty_regular,synthetic
PFD-000021,SVY-000031,GST-000031,BB-037,2024-04-15,Iced Matcha Latte,tea,0,0,1,3,2,too_sweet,good_value,at_risk_guest,synthetic
PFD-000022,SVY-000032,GST-000032,BB-043,2024-01-08,Breakfast Burrito,food,0,1,1,4,3,balanced,good_value,at_risk_guest,synthetic
PFD-000023,SVY-000035,GST-000035,BB-064,2024-03-06,Classic Latte,espresso,0,0,1,4,3,balanced,good_value,at_risk_guest,synthetic
PFD-000024,SVY-000036,GST-000036,BB-085,2024-03-21,Turkey Sandwich,food,0,0,1,5,5,balanced,fair,seasonal_product_explorer,synthetic
PFD-000025,SVY-000037,GST-000037,BB-069,2024-04-13,Chai Tea Latte,tea,0,0,1,5,4,balanced,too_expensive,seasonal_product_explorer,synthetic
PFD-000026,SVY-000038,GST-000038,BB-001,2024-01-31,Breakfast Burrito,food,0,1,1,4,3,balanced,good_value,occasional_guest,synthetic
PFD-000027,SVY-000040,GST-000040,BB-063,2024-03-31,Breakfast Burrito,food,0,1,1,5,4,balanced,good_value,price_sensitive_guest,synthetic
PFD-000028,SVY-000042,GST-000042,BB-007,2024-04-06,Cold Brew,cold_brew,0,0,1,4,4,balanced,fair,loyalty_regular,synthetic
PFD-000029,SVY-000044,GST-000044,BB-009,2024-01-22,Blueberry Muffin,bakery,0,0,1,5,2,too_sweet,good_value,loyalty_regular,synthetic
PFD-000030,SVY-000045,GST-000045,BB-019,2024-04-22,Blueberry Muffin,bakery,0,1,1,3,1,too_sweet,fair,loyalty_regular,synthetic
